id	speaker	sex	text	text_en	power	orientation	populism
IS02837	a046e1e154bf1bd76092544cf8643823	F	Herra forseti. Forseti hefur orðið við þeirri bón að hér verði haldinn þingflokksformannafundur í hádegishléi. Ég hvet forseta til að gera hlé á fundi nú. Það er ótækt að við eigum að halda hér áfram þingstörfum eins og ekkert sé. Hér koma stjórnarþingmenn og hreykja sér af því að meiri hlutinn sé einhuga í því að ganga á svig við lög um rammaáætlun og ganga á svig við lög um þingsköp. <p> Við í minni hlutanum getum ekki látið fara svona með okkur, herra forseti. Þetta er óboðlegt og við getum ekki haldið fram fundi á meðan menn standa hér og hreykja sér af því að geta virt reglur og lög að vettugi í krafti meiri hluta síns, meiri hluta sem er langt umfram kjörfylgi því að það var rétt rúmlega 50% á meðan þingstyrkurinn hér er 60%. <p> Herra forseti. Ég óska eftir  að tekið verði mið af því hér.	Mr. President. The president has requested that this be held at a council meeting during lunchtime. I urge the President to interrupt a meeting at this time. I can't believe we're supposed to go on here as far as nothing's going on. Here, government senators come and pride themselves on the fact that the greater part is united in opposing laws on the frame of the principle and in compromising the laws of Congress.  <p>  We in my section can't be treated like this, Mr. President. It's unannounced, and we can't put up a meeting while men stand here and be proud of being able to ignore the rules and songs in the power of the greater part, much more than a vote, because it was only a little more than 50% while the council's grant is here 60%.  <p>  Mr. President. I wish to be taken into account here.	NA	0	1
IS02028	f863bf262f5cb674cceb9ecc16ac0737	F	Herra forseti. Mig langar aðeins að gera grein fyrir ferð Íslandsdeildar Vestnorræna ráðsins til Grænlands á dögunum á þemaráðstefnu sem var haldin þar hjá Vestnorræna ráðinu. Þar kom margt fróðlegt fram. Rædd voru tækifæri og áskoranir í ferðaþjónustu á Vestur-Norðurlöndunum og málstofa haldin um þau mál. Það eru mismunandi áskoranir og verkefni í þessum þremur löndum. <p> Á Grænlandi er ferðaþjónustan líka að byggjast hratt upp. Þar horfa menn til þess að stækka flugvelli sem fyrir eru til að auka flutning fólks til landsins og innan lands, bæði í Ilulissat og í Nuuk. Þar eru ferðaþjónustuaðilar mikið erlendir og hagnaður fer mikið úr landi og er verið að tala um að reyna að halda hagnaðinum heima fyrir. Í Færeyjum er mikil áhersla lögð á menntun í greininni og að regluverkið sé styrkt og eflt. Þar er verið að setja ný náttúruverndarlög. Í máli ferðamálaráðherra kom fram að hér á Íslandi sé samstarf milli ráðuneyta um ferðamál og mikil áhersla lögð á sjálfbærni í greininni og að vöxturinn sé í sátt við samfélagið. <p> Vissulega erum við að glíma við mismunandi verkefni. Ég tel að það sé brýnt verkefni, við endurskoðun á samgönguáætlun, að við horfum til innviðanna og þá ekki síst flugvalla landsins. Þar eru miklar fjárfestingar sem hafa verið að drabbast niður. Við þurfum að byggja upp flugvelli landsins til þess að stýra ferðamönnum út um allt land í ferðaþjónustu allt árið. Ný samgönguáætlun þarf að endurspegla þá miklu þörf á innviðauppbyggingu á Íslandi. Við getum ekki bara tekið endalaust við fleira fólki ef innviði skortir, við vitum að þeir eru í lamasessi.	Mr. President. All I want to do is explain the trip of the Western Council to Greenland during the days of a theme conference held there at the Western American Council. Many interesting developments were made there. There were opportunities and challenges to travel in the West Nile, and a seminar on that subject. There are different challenges and challenges in these three countries.  <p>  Also in Greenland, tourism is building quickly. There, people look forward to expanding airports to increase the transport of people to the country and within the country, both in Ilulissat and in Nuuk. There, traveling workers are a lot of foreign people, and profits are getting a lot out of the country and are talking about trying to keep their profits at home. In the Faeroes, education is emphasized in this article and is being strengthened and strengthened by the rule of order. There are new protection laws. In the case of a travel minister, it was noted that here in Iceland, there is a partnership between tourism schemes and a high priority on sustainable development in the article and that growth is in agreement with society.  <p>  Granted, we are dealing with different assignments. I think it's an urgent project, a review of transport plans, that we look to the infrastructure, and especially the national airports. There's a lot of investments that have just been blown down. We need to build up an airport in order to manage tourists all over the country for international tourism throughout the year. A new transport program needs to reflect the need for infrastructure in Iceland. We can't just take more people forever if we don't have any wood, we know they're paralyzed.	NA	0	1
IS02711	d8895386a2285cf84371dbf89a392840	M	Virðulegur forseti. Ég vil byrja á að þakka hv. þm. Bryndísi Haraldsdóttur fyrir að hefja hér umræðu um samgöngur. Það er mikilvægt fyrir okkur að ræða þennan mikilvæga málaflokk oft og örugglega. Ég fagna því einnig að hér sé kominn af stað samstarfssáttmáli til að efla samgöngur á höfuðborgarsvæðinu sem og á landinu öllu. Mér finnst þetta hafa skort athygli þingsins og fjárveitingavaldsins undanfarin ár og fagna því þess vegna að verið sé að leita lausna, finna leiðir til að koma áfram fjölbreyttum samgöngubótum, samgöngum fyrir alla. Þær verða að vera fjölbreyttar og gagnast öllum. <p> Mér finnst mikilvægt að fram komi að þarna er verið að komast að sátt um að leggja samgönguása þannig að það verði mislægur samgönguás í gegnum höfuðborgarsvæðið, að það séu forgangsakreinar og annað slíkt, þannig að menn komist hraðar á milli bæjarfélaga og í gegnum höfuðborgina. Ég vil líka taka fram að þessi sáttmáli snýst ekki um rekstur á almenningssamgöngum. Það er mikilvægt að það komi fram. <p> Það er margt gott í sáttmálanum sem er vert að nefna og gæti sýnt fram á áhrif hans mjög fljótt. Það er hægt að ná áhrifunum mjög hratt fram ef báðir aðilar standa við sínar skuldbindingar. Þar vil ég fyrst nefna ljósastýringuna. Það er talað um að fara í sameiginlega ljósastýringu á öllu höfuðborgarsvæðinu. Þess vegna vil ég spyrja hæstv. samgönguráðherra hvort eitthvað sé til í þeim áhyggjum sem ég heyri hjá sveitarfélögunum á höfuðborgarsvæðinu, að Reykjavíkurborg sé að stíga skref í sinni ljósastýringu sem geti tafið heildarljósastýringuna á öllu höfuðborgarsvæðinu. Það er ekki vel ef menn ætla strax að fara að vinna hver í sínu horni en ekki allir saman í að ná almennilegri ljósastýringu  með Vegagerðinni og sveitarfélögunum.	A respectable president. I'd like to start by saying thank you. paritaprevir The Haraldsdóttir for starting this discussion about transportation. It is important for us to discuss this important sect frequently and safely. I also rejoice that this is the beginning of a cooperative treaty to further transport in the capital area as well as in the whole country. I feel that this has been a lack of the attention of the council and of the financiership over the past few years, and therefore I rejoice that there are solutions to finding ways to continue a wide variety of transport process. They must be varied and useful to all.  <p>  I think it's important to learn that there is an agreement to transport so that there will be a different transport river through the capital area, that there are priorities and so forth, so that people can get between their communities faster and through the capital. I also want to state that this treaty is not a business on public transportation. It is important that you do so.  <p>  There are many good things in the covenant that are worth mentioning and that could show its effect very quickly. The effect can be reached very quickly if both parties stick to their commitments. That's where I'd like to first mention the light control. A common light control system is spoken of in the capital area. That's why I want to ask the highest. The secretary of transportation whether there is anything in the concern I hear with my local community in the capital area, that Reykjavíkurburg is taking steps in its light management that can delay the overall light control of the entire capital area. It's not good if you're going to work in your own corner right away, but not all of you are going to get a better light control with the Vega and the countryside.	NA	1	1
IS04604	03a95e995fd7604712691109b9cfa078	M	Virðulegur forseti. Ég er með fyrirspurn á umhverfis-, orku- og loftslagsráðherra. Við auglýsum okkur sem grænt land og í þessari fjármálaáætlun er tekið fram að öll raforka sem við framleiðum sé af endurnýjanlegum uppruna. Það er gott og vel. En orkan sem við notum er annað mál. Ég kem frá Vestmannaeyjum og þar eru loðnubræðslur keyrðar á olíu alla vertíðina og meira að segja sundlaugin okkar er keyrð á olíu. Ég tel að við þurfum að skoða betur möguleika á að virkja sjávarföll og sjávarstrauma enda eru í kringum eyjarnar sterkir straumar. Einnig tel ég að við þurfum að skoða möguleikana á því að nýta vindorku fyrir orkuþörf Vestmannaeyja. Auk þess vantar okkur varanlega lausn á sorphirðumálum. Við höfum verið ferja sorp upp á land í mörg ár vegna þess að það er engin sorpbrennsla lengur í Eyjum. Er hæstv. ráðherra sammála mér að leita þurfi lausna í umhverfis- og orkumálum Vestmannaeyja, t.d. með því að nýta sjávarföll, sjávarstrauma og vindorku? Hvaða lausnir sér hæstv. ráðherra í orkumálum og sorphirðumálum í Vestmannaeyjum sem og víða á landsbyggðinni? <p> Virðulegur forseti. Ég þakka ráðherra fyrir svörin og hvet hann eindregið til að setja svolítinn kraft í málið, ég held að það veiti ekki af. Við erum að urða í Vestmannaeyjum sennilega meiri hlutann af okkar sorpi, sem er náttúrlega alveg skelfilegt. Til framtíðar litið þá er ekkert að gerast í raun og veru. Eftir því sem ég veit best er verið að herða alla löggjöf um þessi sorphirðumál og brennslumál um næstu áramót og maður hefur bara áhyggjur af stöðunni.	A respectable president. I have a request for the Environment, Energy and Climate Minister. We report ourselves as a green country, and in this financial program all the electricity produced by renewable sources. That's all right. But the energy we use is another matter. I come from the Western Islands and there's furphines driven on oil throughout the season, and even our swimming pool is being run on oil. I think we need to take a closer look at the possibility of exerting tides and currents, which surround the islands with a strong stream. Also, I believe we need to examine the potential for using wind for the Western energy demand. Moreover, we lack lasting relief from waste management. We've been on the road to waste for years because there's no more garbage in the island. It's the highest. Minister agrees with me to search for solutions in the Western Environment and Energy sectors, e.g. through the use of tides, currents, and wind power? What is the highest solution. Ministers of energy and waste management in the Western Islands as well as in other parts of the country? <p> A respectable president. I thank a minister for his answers and strongly urge him to put a little power into the matter, I don't think that's gonna help. We're growling in Western islands, probably more of our garbage, which is naturally terrifying. To the future, nothing is really happening. As far as I know, all the laws on these waste management and incineration matters are being tightened by next year, and you're just worried about the situation.	NA	0	4
IS03009	e40ad331e3185817a7f0d5f421e0b813	M	Forseti. Það sem ég er hrifinn af í þessari aðgerð er að neytandanum er treyst til að velja, þ.e. að vissu leyti er markaðsleið falin í þessu. Allir yfir 18 ára fá 5.000 kr. og svo velja þeir hvar þeir vilja nota þann pening. Það er eitt sem mig langar að spyrja ráðherra um í samhengi við þau Covid-mál sem hún hefur lagt fram: Kostnaður við þetta frumvarp er metinn á u.þ.b. 1,5 milljarða, sem skilar sér þá að einhverju leyti til ferðaþjónustu innan lands. Hvað er það mikið í samanburði við þá peninga sem annars eru fastir, ef annað Covid-frumvarp hæstv. ráðherra nær fram að ganga, í 12 mánuði og nýtast þá ekkert á þessu ári og fram á næsta vor innan lands vegna þess að fólk fær ekki endurgreitt þá peninga sem það var búið að borga til ferðaskrifstofanna? Bara svo að við sjáum samhengið í þessum tölum. <p> Forseti. Ráðherra veit að ég hef kynnt tillögu fyrir atvinnuveganefnd sem losar um þessa peninga strax og leysir lausafjárvanda þessara fyrirtækja. Ef þau færu hvort eð er í þrot eða gjaldþrot, sem er það sem frumvarp ráðherra um pakkaferðir er að reyna að stöðva, fá þau, án þess að fara í rekstrarþrot eða gjaldþrot, strax aðgang að þessu tryggingarfé og vátryggingafélögin tapa ekki út af því að þau hefðu hvort eð er þurft að greiða það út til þess að endurgreiða neytendum. Það er á boðstólum lausn til þess að leysa þessa peninga út strax þannig að fólk geti strax farið að kaupa sér ferðir í sumar hér innan lands. Ef ráðherra gæti sagt okkur hver heildartalan er í þessum kröfum erlendra ferðamanna og innlendra, svo að við höfum einhverja hugmynd um það. <p> Á léttu nótunum: Ég fór að hugsa þegar ég sá að þessi ávísun á líka við um veitingastaði og svoleiðis. Væri hægt að nota þetta eins og, hvað á ég að segja, bjórsjóð, til að fara á barinn og kaupa nokkra bjóra?  Þegar ég vil gera vel við mig fer ég á Vitabar og kaupi mér steik og bjór. Það er vel undir 5.000 kr. þannig að ég gæti nýtt það þannig og myndi eflaust gera það.	President. What I like about this operation is that the consumer is trusted to choose, i.e. In a sense, a market route is hidden in this. All over 18 will receive 5,000 bucks. And then they pick out where they want to use that coin. There's one thing I'd like to ask a minister about in relation to the Covid business she's proposed: The cost of this bill is estimated at about 1.5 billion, which produces a measure of transport within the country. How much is it compared to the money otherwise trapped, if another Covid bill is highest. A minister is able to walk, for 12 months, and will not be useful this year until the next spring in the country because people are not paid back the money they had paid for their tourism? Just so we can see the context in these figures. <p> President. The minister knows that I've introduced a proposal to a professional health board that releases this money as soon as possible and solves the financial problems of these companies. If, anyway, they went into failure or bankruptcy, which is what the prime minister on packaging trips is trying to stop, they get, without going into business failure or bankruptcy, immediately access to this guarantee money, and the insurance companies do not lose because they had to pay off anyway to repay consumers. There is a solution to the solution to the money right away so that people can immediately buy trips for themselves in the summer here in the country. If a minister could tell us the overall numbers in these demands of foreign tourists and domestic people, we might have some idea.  <p>  Light notes: When I noticed that this check applies to restaurants and so on, I began to think. Could this be used as, what should I say, a bottle of beer, to go to the bar and buy some beers? When I want to do something nice with myself, I go to Vitabar and buy myself a steak and a beer. That's well under 5,000 bucks. so that I could use it that way and I'd probably do it.	NA	NA	3
IS02671	002da1c69917a963a0dd3918f0c3b271	F	Virðulegi forseti. Það hefur víst ekki farið fram hjá neinum að við erum að fara að fjalla um risastórt mál í dag, þriðja orkupakkann svokallaða. Þingsályktunartillaga kemur núna fyrst frá hæstv. utanríkisráðherra. <p> Það hefur komið fram á vef ráðuneytisins að hæstv. ráðherra átti í samtali við Miguel Arias Cañete, framkvæmdastjóra orkumála Evrópusambandsins. Hæstv. ráðherra hefur ítrekað gefið það út í fjölmiðlum að þar hafi menn verið að setja ákveðinn fyrirvara inn í samninginn þannig að hafið sé yfir allan vafa að ekki sé um að ræða raunverulegt fyrsta skref í áttina að því að tengja okkur við orkumarkað Evrópu. Mig langar til að vita hjá hæstv. ráðherra hvort þetta hafi ekki verið óformlegt samtal og hversu vel hann telji að þessi fyrirvari haldi í ljósi þess að hann hefur t.d. ekki verið lagður fyrir sameiginlegu EES-nefndina. <p> Þetta er grundvallaratriði sem við þurfum að hafa á hreinu vegna þess að úti í samfélaginu, eins og vitað er, er ákveðið óöryggi og ákveðinn ótti hefur gripið um sig. Sumir vilja kalla að hér sé verið að beita hræðsluáróðri og slíku en eigum við ekki bara að reyna að gera þetta í sátt og samlyndi þannig að allir geti við unað? <p> Virðulegi forseti. Ég þakka hæstv. utanríkisráðherra fyrir svarið. Já, þetta er nú svolítið athyglisvert en við erum þá alla vega komin með það á hreint að þetta var óformlegt samtal sem felur í rauninni ekki í sér neinn fyrirvara, faktískt. Það er í rauninni enginn fyrirvari sem við höfum í hendi. Ekki neinn. <p> Þá verðum við að nálgast málin pínulítið öðruvísi og ég þakka hæstv. ráðherra fyrir það að við eigum eftir að taka samtalið, vonandi í þágu allra. <p> Hvað lýtur að Norðmönnum sem hann segir að séu með einhver læti hérna hjá okkur: Norðmenn eru almennt mjög ósáttir við það hvað orkuverðið hefur hækkað hjá þeim. Það veit ég að íslenskir neytendur yrðu líka.	A respectable president. It seems that no one has overlooked that we are discussing a huge case today, the third energy package called. An interpretation proposal comes from the highest level at this time. Secretary of state.  <p>  It has been reported on the Ministry's website at the highest level. Minister had a conversation with Miguel Arias Cañete, the European Commission of Energy. V.E.G. A minister has repeatedly stated in the media that there are certain warnings in the agreement so that the sea is in doubt that there is no real first step toward linking us with the energy market of Europe. I'd like to know at the highest. Minister whether this was not a informal conversation and how well he believes this one was to be held in view of the fact that he has, for example, been present. The joint EEA committee has not been submitted.  <p>  This is a fundamental factor that we need to be clear because, as it is known, the community is insecurity and a measure of fear has taken over us. Some would like to call it fear propaganda and such, but should we not just try to do so in harmony and harmony so that everyone can enjoy it? <p> A respectable president. Thank you very much. Secretary of State for the answer. Yeah, it's a little interesting, but we're at least making it clear that it was a informal conversation that really doesn't involve any warning. In fact, there is no premise in our life. No one.  <p>  Then we'll have to approach things a little different, and thank you very much. Minister for the fact that we're going to take the conversation, hopefully in behalf of all of us.  <p>  What is it with the Norwegians he says is making a scene here with us: Witches are generally very conflicted with their rise in energy prices. I know that the Icelandic consumers would be too.	NA	0	4
IS02109	d3d6ffa18b5e3d2aa009190f711b561a	F	Virðulegi forseti. Á síðasta kjörtímabili var oft og mikið talað um fjölskylduvænan vinnustað. Það hefur ekki lagast frá því sem þá var. En af því að ég þykist vita að frú forseti sem nú er á forsetastól er fjölskylduvæn kona langar mig til að spyrja hana hvort hún aumki sig ekki yfir okkur vesæla þingmenn og gefi okkur upplýsingar um það hvenær við gætum hugsanlega farið heim í nótt. Þótt karlarnir sjái oftast ekki ástæðu til þess ætla ég að höfða til systur minnar á forsetastóli og biðja hana að gefa okkur upplýsingar um það hvenær hún hyggst slíta þessum fundi.	A respectable president. During the last term, family - related workplaces were often spoken of. It hasn't been better since then. But because I think that Mrs. President now on the President's chair is a family-friendly woman I'd like to ask her if she doesn't pity us poor senators and give us information about when we might be able to go home tonight. Although the men usually don't see why, I intend to appeal to my sister in the Presidential chair and ask her to give us information about when she's going to break this meeting.	NA	0	1
IS04300	0e921e84a06601a2ec9bb8b0a91f99b8	M	Virðulegur forseti. Bókin Fátækt fólk eftir Tryggva Emilsson kom út árið 1976 og skapaði usla í samfélaginu. Höfundurinn, nærri áttræður, greindi frá æsku sinni, atlæti og bágum kjörum, mikilli fátækt og þeim áhrifum sem þetta hafði á hann sem barn og fullorðinn mann. <p> Frásagnir Tryggva féllu í grýtta jörð hjá þeim sem hann nefndi til sögunnar, dregnar voru í efa lýsingar hans, sagt að höfundur oftúlkaði upplifun sína á mörgum sviðum. Enn er fátækt áþreifanleg í samfélaginu og enn höfum við tilhneigingu til að gera lítið úr þessum smánarbletti. Við eigum erfitt með að horfast í augu við þessa staðreynd þótt hún blasi við okkur daglega í ýmsum myndum. Þetta eru óhreinu börnin hennar Evu. <p> Fátækt hefur áhrif á alla sem búa við það hlutskipti og á marga ævilangt, skilur eftir reynslu og ör sem ekki verða afmáð. Mörgum reynist þetta lexía sem þeim tekst að vinna úr með uppbyggilegum hætti, ekki þó öllum. Einhver okkar sem hér starfa hafa upplifað fátækt og lítil efni á eigin skinni og ætti að vera í lófa lagið að leggja allt í breytingar til úrbóta. Aðrir þekkja þetta aðeins af afspurn, telja jafnvel að þetta eigi að vera svona og sé eðlilegt. Þeim er kannski vorkunn. Því viðhorfi megum við aldrei lúta. Fátækt veldur mismunun, elur á ójöfnuði og getur ýtt undir ofbeldi og óeirðir í samfélögum. <p> Við getum útrýmt fátækt, þetta eru ekki náttúrulögmál. Það sem til þarf er mannúð, að hafna forréttindum, einblína á almannaheill. Við höfum glímt við viðfangsefnið fátækt á Íslandi í áratugi, m.a. á vettvangi löggjafans. Stundum hefur okkur miðað örlítið en aðstæður eru til skammar í dag. Þúsundir barna búa við fátækt í allsnægtasamfélaginu, það er næg atvinna, nægir peningar. Samt hafa hjálparstofnanir vart undan að veita aðstoð. <p> Aldraðir búa við bágan hag, barnafjölskyldur berjast í bökkum og öryrkjar eru afgangsstærð.  Það eru stjórnvöld sem hafa úrbætur í hendi sér. Við getum gert betur.	A respectable president. The book Poor People by Tryggvi Emilsson came out in 1976 and created trouble in the community. The author, close to 80 years of age, told of his youth, his greed and his poor interests, his great poverty, and his effect on him as a child and as an adult.  <p>  The stories of Tryggvi fell to a rocky earth by those whom he mentioned, questioned his descriptions, saying that the writer often reflected his experiences in many areas. Today, poverty is tangible in our society, and we are still inclined to minimize these reproaches. Although we face this fact every day in various forms, we find it hard to recognize it. These are Eva's dirty children.  <p>  Poverty affects all who live in that lot and for many lifetimes, leaves an experience and an arrow that will not be wiped out. Many, though not all, find this lesson to be a lesson for them to work out in an upbuilding way. One of us who has worked here has experienced poverty and poor skin material and should be in the palm of our hands to make changes. Others know this merely by word of mouth, even believing that it should be this way and is normal. They may feel sorry for you. Therefore, we must never bow down to one another. Poverty causes discrimination, breeds inequities, and can promote violence and riots in communities.  <p>  We can eliminate poverty, these are not laws of nature. What is needed is humanity, rejecting predestination, focusing on the common good. We've been dealing with the problem of poverty in Iceland for decades, including ... atthelaw'sfield. Sometimes we have a slight basis, but circumstances are a disgrace today. Thousands of children live in poverty in the vast world, there is plenty of work, enough money. Still, relief agencies have failed to provide assistance.  <p>  The elderly live in poor economics, the children's families struggle in banks, and the leftover sizes are left over. Governments have improvements in their hands. We can do better than that.	NA	0	1
IS02107	331e4b4e0c35aa763e3dfedd614c1db5	F	Herra forseti. Ég þakka hv. þingmanni fyrir fyrirspurnina. Þær ákvarðanir sem við höfum tekið gera það að verkum að þetta verkefni mun ganga þrisvar sinnum hraðar, ef svo má segja, en við gerðum ráð fyrir. Staða þrífösunar í landinu í heild sinni er að 78% kerfisins eru þriggja fasa og þar af 67% með jarðstrengjum. Á Austurlandi er hlutfallið vissulega lægra, 60% og þar af eru um 53% kerfisins í jarðstrengjum. Dreifikerfi raforku á Austurlandi, sem er á hendi Rariks, er það yngsta í dreifikerfinu. <p> Þegar við fórum af stað með ljósleiðaraverkefnið, þegar ég var aðstoðarmaður innanríkisráðherra, var mikið lagt upp úr því að reyna að nýta þessi samlegðaráhrif. Það gekk ekki nægilega vel framan af, því miður. Rarik fullyrðir að þau skoði alls staðar mögulega samlegð með ljósleiðara, og bæði fjarskiptafélögin og sveitarfélögin fá upplýsingar um áform Rariks þannig að þessi samlegðaráhrif ættu að vera tryggð í meira mæli. En það er mikill kostnaðarmunur á lagningu ljósleiðara og raforkujarðstrengja og þar af leiðandi kann að vera erfitt fyrir fyrirtæki að elta ljósleiðaravæðinguna alltaf. Það má því vel vera að við getum gert betur í að tryggja að verkefnið nái fram að ganga með þessum hætti. En við höfum samt metnaðarfyllri áætlun núna, við breyttum í raun aðeins um hugsun, nálgun, um það hvernig þetta yrði gert. Við erum auðvitað að setja nýja peninga í þrífösunina til að þetta gangi hraðar fyrir sig, þannig að við setjum flýtigjaldið og framkvæmdirnar fari af stað. Við erum þannig að falla frá þeim áformum sem Rarik hefur hingað til haft um að horfa að mestu leyti á aldur þessara lína.  Það er mikið framfaraskref að ná því fram en hvort við getum gert enn betur - ég er að sjálfsögðu opin fyrir athugasemdum um slíkt. <p> Herra forseti. Ég er hjartanlega sammála hv. þingmanni hvað varðar mikilvægi þess að jafna dreifikostnað raforku. Ég hef sagt það í riti og ræðum úr þessum stól að í mínum huga sé þessi munur einn helsti og stærsti galli raforkukerfisins sem við höfum hér. Jöfnunargjaldið, sem var sett á laggirnar 2015, átti að duga en það dugar ekki. Það munar um 1.000 milljónum. Eins og staðan er núna þarf 2.000 milljónir til að jafna muninn. Við höfum nokkrar mögulegar leiðir í því en í fjármálaáætlun 2021–2025 gerum við ráð fyrir auknum framlögum til jöfnunar dreifikostnaðar raforku. Gert er ráð fyrir hækkun sem nemur um 730 millj. kr. Það er þá annars vegar 13% hækkun á jöfnunargjaldi raforku, þar sem við erum að uppfæra það með tilliti til verðlags, og hins vegar sérstakt framlag úr ríkissjóði upp á 600 milljónir. Langar mig að geta hakað við þetta, klárað þetta og jafnað að fullu? Vissulega. Það er stórt skref að setja þetta mikla nýja fjármuni í að hækka hlutfallið, sem er í dag um 50%, en við höfum sett okkur markmið um miklu hærri prósentu. Með þessum breytingum  náum við um 85% sem er heilmikil breyting. En ef hægt er á þessum tímum að finna viðbótarfé  til að klára þá mun ég styðja það. En þetta er vissulega meiri háttar breyting frá því sem nú er.	Mr. President. Thank you. A senator for the inquiry. The decisions we have made will make this project work three times faster, so to speak, than we anticipated. The whole country has a triphasic state that 78% of the system is a three-phase, with an earthline of 67%. In the East, the share is certainly lower, 60%, of which are about 53% of the system in ground cables. The distribution network of electricity in the East, located on Rarisk's hand, is the youngest in the distribution system.  <p>  When we started with the fiber - optic project, when I was an assistant to the Minister of the Interior, it was a great challenge to try to exploit these additive influences. It didn't go well enough off, unfortunately. Richard claims that they would look at all over the world through fiber optics, and both communicators and rural communities are informed of Raikks' plans so that this harmony should be ensured to a greater extent. However, there is a high cost difference between cleaning fiber optics and electric cables, and as a result, it may be difficult for an enterprise to follow the fiber suit all the time. We may, therefore, be able to do more to ensure that the project is accomplished in this way. But we still have a more ambitious plan now, we actually only changed our thinking, our approach, about how this would be done. Of course, we're putting new money in the tribunal to make this work faster for us, so we set the quickly charge and the project goes on. So we're falling from the plans that Richard has so far managed to look largely at the age of this line. It's a big step to get that out of the way, but whether we can do it better - I'm, of course, open to comments about it. <p> Mr. President. I couldn't agree more. A senator in terms of the importance of equalizing the cost of electricity. I've said in a publication and I've been speaking to this chair that in my mind this difference is one of the main and biggest defects of the power system we have here. The budget set up for 2015 was sufficient, but it's not enough. It's about 1,000 million. The situation today requires 2,000 million to equalize the difference. We have some possible ways of doing this, but in financial programme 2021/2025, we expect more donations to equal the mass cost of electricity. An increase of 730 billion is expected. K. That, on the other hand, is a 13% increase in electricity equations, in terms of prices and, on the other hand, a special contribution from a government fund of 600 million. Do I want to be able to check this, finish this, and recover completely? Sure. It is a big step to put this much new money into raising the share today by 50%, but we have set our goals for a much higher percentage. With these changes, we make about 85%, which is a big change. But if at this point you can find extra money to finish, I will support it. But this is certainly a major change from what is now.	NA	1	1
IS04134	85f381518538addb6ebe98033d7ec674	M	Virðulegi forseti. Hv. þingmaður hvetur mig til að ræða það að hlutverk aðstoðarmanna sé annað en starfsmanna í ráðuneytinu en það er bókstaflega það sem ég sagði, bæði í andsvörum mínum, í ræðu minni og meira að segja í andsvari rétt áðan. Aðstoðarmenn hafa hins vegar, eins og við hv. þingmaður höfum bæði sagt hérna, aðgang að upplýsingum og tengslaneti og það er í greinargerð frumvarpsins ástæðan fyrir snúningshurðarákvæðinu, ekki ákvarðanir sem eru teknar innan stjórnsýslunnar heldur upplýsingar og tengslanet. <p> Hv. þingmaður sagði að nauðsynin á þessari lagabreytingu væri óljós með hliðsjón af þeirri þróun sem hefur átt sér stað undanfarin ár. Mig langaði að spyrja um það, vantar aðeins að ramma það betur inn í tíma. Ef mér skjátlast ekki þá samþykkti hv. þingmaður fyrir rúmum tveimur árum stjórnarsáttmála sem gekk út á það að semja þetta frumvarp. Þar er  talað um nauðsyn þess að yfirfara reglur um hagsmunaskráningu, sem er það sem er verið að gera með þessu frumvarpi.  Þykir þingmanninum ráðherra hafa farið eitthvað út af sporinu hér?  Hefur þingmanninum snúist hugur síðan hann samþykkti þennan stjórnarsáttmála?  Hvar er misskilningurinn núna?	A respectable president. Hv. A member of the body encourages me to discuss the role of assistants who are different from the members of the Ministry, which is literally what I said, both in my answers, in my speech, and even in my reply just now. However, like us, assistants have what they need. A senator has said both here, access to information and network, and that's in the bill's report for the perpendition, not of decisions made within the administration, but of information and network.  <p>  Hv. One senator said that the need for this adjustment is unclear in view of the trend that has taken place over the past few years. I wanted to ask about it, need only to frame it better in time. If I'm not mistaken, we agreed. A senator more than two years ago, a government contract that went out of writing this bill. It speaks of the need to review the rules of interest registration, which is what is being done with this bill. Is it true that the senator has left something here? Has the senator changed his mind since he accepted this government covenant? Where's the misunderstanding now?	NA	NA	3
