id	speaker	sex	text	text_en	power	orientation	populism
ua00001	e9e9f692739784126a5520a23a20c385	F	"народний депутат України  . ""Присягаю на вірність Україні. Зобов’язуюсь усіма своїми діями боронити суверенітет і незалежність України, дбати про благо Вітчизни і добробут Українського народу. <p> Присягаю додержуватися Конституції України та законів України, виконувати свої обов’язки в інтересах усіх співвітчизників"". <p> Шановні народні депутати та гості! Насамперед я хотіла б привітати всіх новообраних депутатів з обранням до найвищого представницького органу влади нашої держави. Ставши народними депутатами, ми взяли на себе високий обов’язок виповнити сподівання українського народу на кращу долю, на краще життя. Надіюся, що нам вдасться виправдати довіру виборців і у повній мірі використати надані нам повноваження на добро для української нації. <p> Серед народних обранців представлені люди з різними політичними поглядами, тому політичне протистояння у Верховній Раді є неминучим, і це природно для парламентів усіх держав, я сподіваюся, що це протистояння перебуватиме у цивілізованих межах. Впевнена, що у своїх рішеннях Верховна Рада керуватиметься не особистими чи корпоративними інтересами, а насамперед і виключно інтересами Української держави. І я хочу вірити, що чинником, який об’єднуватиме усіх нас, стане любов до України. Щиро бажаю новообраній Верховній Раді України плідної праці. Слава Україні! <p> Перше пленарне засідання Верховної Ради України четвертого скликання, обраної 31 березня 2002 року, оголошую відкритим  . <p> Звучить Державний Гімн України."	"National deputy of Ukraine. ""I swear allegiance to Ukraine. I commit myself to upholding Ukraine’s sovereignty and independence by all my actions, caring for the welfare and welfare of Ukraine’s people.  <p>  I pledge to abide by the Constitution of Ukraine and the laws of Ukraine, to carry out my duties in the interests of all compatriots."" <p> Dear national deputies and guests! First of all, I would like to welcome all the newly elected deputies to the highest representative body of our state. When we became national deputies, we took on a high responsibility to meet the Ukrainian people’s expectations of a better fate, a better life. I hope that we will be able to justify the confidence of the electorate and to make full use of the authority given to us for the good of the Ukrainian nation.  <p>  People with different political views are represented among the people of the peoples, so political opposition in the Supreme Council is inevitable, and it is natural for the parliaments of all nations, I hope that this opposition will remain within civilized boundaries. I am confident that in my decisions, the Supreme Council will be governed, not by personal or corporate interests, but primarily by the interests of the Ukrainian State. And I want to believe that love for Ukraine will be a factor that unites all of us. I sincerely wish the newly elected Supreme Council of Ukraine fruitful work. Glory to Ukraine!  <p>  The first plenary meeting of the Supreme Council of Ukraine on the fourth call, held on March 31, 2002, declared open.  <p>  Sounds like the State Hymn of Ukraine."	NA	1	NA
ua00002	54233a282e2cc44d662b0797dd89af30	M	народний депутат України  . Шановний Адаме Івановичу! Шановний Георгію Корнійовичу! Шановні колеги! Так відбувається, що в одному випадку ми посилаємося на Регламент, в іншому - на традицію. Регламент наш готувався під мажоритарну модель  , і представники до складу Лічильної комісії, як ви пам’ятаєте, обиралися від регіональних делегацій. При пропорційній системі така модель не може бути сприйнята. Це перше питання. <p> Друге. Питання про Президію не врегульовано жодним документом, але сильнішою за будь-яку нормативну базу, яку ще мріємо ми виписати, є традиція. Традиція Верховної Ради така, що засідання до обрання Голови і заступників ведуть завжди керівники фракцій або регіональних делегацій. Тому ми просимо від імені фракції підтримати таку пропозицію. <p> Дякую.	National deputy of Ukraine. Dear Adam Ivanovich! Dear George Korniyovich! Dear colleagues! So it happens that in one case we refer to the Rules, and in another we refer to tradition. Our rules were prepared for the majority model, and representatives of the Counting Commission, as you recall, were chosen from regional delegations. On a proportional system, this model cannot be accepted. That's the first question.  <p>  The other one. The question of the Presidency is not settled by any document, but more powerful than any normative base that we still wish to write is tradition. The tradition of the Supreme Council is that meetings before the election of the Head and the deputies are always led by leaders of factions or regional delegations. So we ask the faction to support this proposal.  <p>  Thank you.	NA	1	NA
ua00003	a0d61a2908cabd60c83ab3bc4c9785f7	M	народний депутат України (багато-мандатний загальнодержавний виборчий округ, <PARTY>). Соціал-демократична партія України (об’єднана). Шановний Адаме Івановичу! Шановні народні депутати! Я хотів би наголосити і підтримати зауваження головуючого щодо того, що на розгляд Верховної Ради України зараз представлено один проект постанови, який може бути обговорений і який може голосуватися. <p> Інших проектів постанов і пропозицій, в тому числі й тих, які звучали від досвідчених парламентаріїв у цьому залі, не подано. Тому, Адаме Івановичу, я пропоную підтримати рішення, яке було проголосовано більшістю голосів на засіданні Підготовчої депутатської групи, яка займалася організаційними питаннями, визначитися й рухатися далі тим шляхом, який визначила Підготовча депутатська група і який закладено в порядок денний. <p> Дякую.	Ukrainian national deputy (mandatory national constituency, <PARTY>). Ukraine’s Social Democratic Party (United States) Dear Adam Ivanovich! Dear National Deputies! I would like to stress and support the Chairman's observation that one draft ruling that can be discussed and that can be voted on is now presented for consideration by the Supreme Council of Ukraine.  <p>  Other draft regulations and proposals, including those made by experienced parliamentarians in this room, are not available. So, Adam Ivanovich, I propose to support the decision that was voted by the majority at the Preparatory MP Group meeting on organizational matters to identify and move on in the way that the Preparatory MP Group has defined and placed in the agenda.  <p>  Thank you.	NA	0	NA
ua00004	54233a282e2cc44d662b0797dd89af30	M	"Виборчий блок Віктора Ющенка ""Наша Україна"". Шановний Георгію Корнійовичу, щодо обрання Голови Верховної Ради України, його Першого заступника і заступника, як мені відомо, в ході консультацій було запропоновано, щоб це голосування відбувалося пакетом. У порядку денному ці питання стоять як окремі. <p> Тому пропозиція така: або просто написати ""обрання керівництва Верховної Ради"" і потім вирішувати вже, як зал проголосує - так чи так голосувати, або необхідно записати так, як досягнуто домовленостей. Це перше. <p> І друге. Наша фракція пропонує вилучити з розгляду проект Постанови про внесення зміни до статті 4.2.1 Регламенту Верховної Ради України. <p> Дякую."	"Victor Yushchenka's electoral block ""<PARTY>."" Dear George Korniyovich, regarding the election of the Head of the Supreme Council of Ukraine, his First Deputy and Deputy, as I know, in the course of the consultations, it was proposed that this vote should take place in a package. In the daytime, these questions stand out as separate.  <p>  So the proposal is either to write the ""election of the leadership of the Supreme Council"" and then decide, as the House votes, whether or not to vote, or you have to write it down as agreed. That's the first one.  <p>  And the second. Our faction proposes to remove the draft Order amending article 4.2.1 of the Supreme Council of Ukraine.  <p>  Thank you."	NA	1	NA
ua00005	54233a282e2cc44d662b0797dd89af30	M	"Фракція ""Наша Україна"". Шановний Адаме Івановичу! Шановні колеги! Ви бачите, наскільки зараз важко розібратися у процедурі голосування у зв’язку з тим, що не зареєстровані фракції. Я вам зараз покажу математику. Ми проголосували 256 голосами за одне з питань. Перед тим проголосували склад Лічильної комісії. Відніміть від 256 66 комуністів, ви отримаєте 190 ""За ЄдУ!"" плюс соціал-демократи, тому що ми не голосували. Поділіть це пополам, і вийде, що ми до складу Лічильної комісії ввели від блоку ""За ЄдУ!"" двох представників, що в принципі не має ніяких пропорційних підстав. <p> Тому пропозиція така. Сьогодні до кінця дня реєструються фракції в Управлінні кадрів, здається документація для того, щоб завтра реєстрація і голосування проводилися в поіменному режимі з виведенням на табло результатів поіменного голосування. <p> Дякую за увагу і прошу підтримати, шановні колеги."	"The faction of our Ukraine. Dear Adam Ivanovich! Dear colleagues! You can see how difficult it is now to understand the voting process because of the fact that the factions have not been registered. Let me show you some math. We voted 256 votes for one of the questions. Before that, the membership of the Counting Commission was voted on. Subtract from 256 66 communists, you'll get 190 for JEDU! Plus Social <PARTY>, because we didn't vote. Divide it in half, and it turns out that we've entered the Counting Commission from the ""To Yed"" block. There are two representatives who, in principle, have no proportionate grounds.  <p>  So that's the offer. Today, by the end of the day, factions in the Personnel Administration are registered, it seems that the documentation is for the registration and voting tomorrow in the roll-out mode.  <p>  Thank you for your attention, and I'd like you to support me, dear colleagues."	NA	1	NA
ua00006	a0d61a2908cabd60c83ab3bc4c9785f7	M	Дякую, Адаме Івановичу, за виняток. Соціал-демократична партія  . Шановні колеги! Я, мабуть, як і кожний у цьому залі, дуже позитивно ставлюся до ідеї пообідати. Але я не буду зараз говорити про прописні істини, для чого ми прийшли до цього залу і до Верховної Ради цього скликання. Хотів би нагадати всім, у тому числі знову-таки звертаюсь до досвідчених парламентаріїв. У нас є Регламент. Стаття 4.2.1, частина п’ята, стверджує, що депутатські групи   формуються на першій сесії Верховної Ради України нового скликання до - наголошую - розгляду питання про обрання Голови Верховної Ради, створення органів Верховної Ради України. <p> Цим питанням у порядку денному, який щойно затверджений рішенням Верховної Ради України, передують питання про організацію роботи першої сесії, про порядок висвітлення роботи першої сесії, доповідь Голови Верховної Ради України третього скликання. Давайте працювати згідно з Регламентом! А всі інші пропозиції повинні сприйматися в тому аспекті, в якому вони відповідають нормам діючого Регламенту. <p> Дякую.	Thank you, Adam Ivanovich, for the exception. Social-Democratic Party. Dear colleagues! Like everyone in this room, I must be very positive about the idea of having dinner. But I'm not going to talk about the correct truths right now, which is why we came to this hall and to the Supreme Council of this calling. I'd like to remind everyone, including once again I'm addressing experienced parliamentarians. We have the Rules. Article 4.2.1, part five, states that the parliamentary groups are formed at the first session of the Supreme Council of Ukraine to discuss the issue of the election of the Head of the Supreme Council, the creation of the organs of the Supreme Council of Ukraine.  <p>  This is the issue in the agenda, which has just been approved by the decision of the Supreme Council of Ukraine, which is preceded by questions about the organization of the work of the first session, the manner in which the work of the first session is presented, a report by the Head of the Supreme Council of Ukraine on the third call. Let us work according to the Rules! All other proposals should be taken to the extent that they meet the rules of the current Rules.  <p>  Thank you.	NA	0	NA
ua00007	a0d61a2908cabd60c83ab3bc4c9785f7	M	"народний депутат України (багато-мандатний загальнодержавний виборчий округ, <PARTY>). Дякую. Фракція Соціалдемократичної партії (об’єднаної). Шановний головуючий! Шановна Президіє! По-перше, наша фракція буде підтримувати пропозицію і рішення підготовчої групи і проект постанови, який проголошує створення 27 комітетів згідно зі статтею 89 Конституції і Спеціальної контрольної комісії з питань приватизації. Але я взяв слово з мотивів голосування для того, щоб звернути увагу народних депутатів і в першу чергу Президії на те, що ми допускаємо некоректність юридичну по відношенню до затвердження як одного, так і іншого проекту постанови, тому що один з проектів постанови все-таки пройде у результаті голосування. <p> Справа в тому, що стаття 89 Конституції України передбачає створення комітетів Верховної Ради України, і Верховна Рада на одному з перших засідань під час першої сесії затверджує перелік комітетів. І це нічого спільного не має із затвердженням Спеціальної контрольної комісії з питань приватизації, яка передбачена статтею 7 Закону про приватизацію державного майна. <p> Ця помилка допущена як у проекті постанови, запропонованому Підготовчою депутатською групою, так і в проекті постанови, яку тут обізвали ""проектом постанови чотирьох""   : серед комітетів запропоновано і комісію. На мій погляд, з метою дотримання норми і Регламенту, і Конституції треба відокремити: утворення Спеціальної контрольної комісії з питань приватизації - це повинен бути пункт 2, а пункт 1 - перелік комітетів, незалежно від того, буде їх 24 чи 27. Це буде абсолютно правильно, щоб постанова, яку ми приймемо в першому або другому варіанті, відповідала нормам діючого законодавства. <p> Дякую."	"Ukrainian national deputy (mandatory national constituency, <PARTY>). Thank you. The faction of the Social Democratic Party. Dear Chairman! Your Honor! First of all, our faction will support the proposal and decision of the preparatory group and the draft decision that proclaims the establishment of 27 committees in accordance with article 89 of the Constitution and the Special Committee on Privatisation. But I took the floor on the grounds of the vote to draw the attention of the people's deputies and, above all, the Bureau to the fact that we are allowing for legal invalidity in relation to the approval of both draft rulings, because one of the draft rulings will still take place as a result of the vote.  <p>  The point is that article 89 of the Constitution of Ukraine provides for the establishment of committees of the Supreme Council of Ukraine, and the Supreme Council at one of the first sessions of the first session approves a list of committees. And this has nothing to do with the approval of the Special Privatisation Supervisory Commission, which is provided for in article 7 of the Law on Privatization of State Property.  <p>  This error is made both in the draft regulation proposed by the Preparatory MP and in the draft regulation here called ""the draft regulation of four"": a commission is also proposed among the committees. In my opinion, in order to comply with both the Rules and the Constitution, it is necessary to separate: the establishment of a Special Committee on Privatization, which should be paragraph 2, and paragraph 1 should be a list of committees, regardless of whether they will be 24 or 27. It would be absolutely right for the decision that we will make in the first or second version to be in line with the rules of existing legislation.  <p>  Thank you."	NA	0	NA
ua00009	54233a282e2cc44d662b0797dd89af30	M	"народний депутат України  . Фракція ""Наша Україна"". Шановний Валерію Іллічу! Я нагадую, що для виступу з мотивів від фракції ви зобов’язані надати слово. Дякую вам. <p> Шановні колеги! Шановний Валерію Іллічу! І в одному, і в другому проекті постанови, як правильно було підкреслено колегою, є ці редакційні моменти. Це стосується і Комітету з питань боротьби з організованою злочинністю. Цей комітет теж передбачений чинним законодавством. Тому як Комітет з питань боротьби з організованою злочинністю, так і контрольна комісія взагалі можуть не голосуватися в переліку комітетів, бо вони передбачені чинним законодавством. Але раз формально це прийнято, то ми можемо їх голосувати, як правильно було сказано, в проекті з двох пунктів. <p> Ми пропонуємо поставити зараз на голосування наш проект постанови - від чотирьох фракцій: перелік комітетів без Спеціальної контрольної комісії з питань приватизації. <p> Дякую."	National deputy of Ukraine. The faction of our Ukraine. Dear Valery of Illijah! I remind you that you are obliged to give your word for the faction’s motives. Thank you.  <p>  Dear colleagues! Dear Valery of Illijah! Both in one and in the other draft decisions, as the colleague rightly pointed out, there are these editorial moments. This is true of the Committee on Combating Organized Crime. This committee is also provided for by valid legislation. Because both the Committee on Combating Organized Crime and the Supervisory Commission may not vote in the list of committees at all, for they are provided for by valid legislation. But once this is formally accepted, we can vote them, as it was said, in a two-point project.  <p>  We propose to put to the vote now our draft decree, from four factions: a list of committees without the Special Supervisory Commission on Privatization.  <p>  Thank you.	NA	1	NA
ua00010	54233a282e2cc44d662b0797dd89af30	M	"Шановні народні депутати! За рішенням фракції мені доручено представити проект постанови, який пропонується фракцією ""Наша Україна"", де передбачено обрання на посаду Голови Верховної Ради Плюща Івана Степановича, Першим заступником Голови Верховної Ради - Мартинюка Адама Івановича і заступником Голови Верховної Ради - Турчинова Олександра Валентиновича. <p> Коротко про нашу позицію, пояснення щодо підтримки цих кандидатур. <p> Плющ Іван Степанович - це наша історія, це наш досвід. І ця історія, і цей досвід мають бути пронесені нами і використані не тільки з точки зору вчорашнього дня, а й у перспективі. Я звертаюся до членів тієї фракції, колись найчисельнішої, і прошу їх згадати слова класика: ""Хто не знає своєї історії, той не достойний свого майбутнього"". Тому ми будемо підтримувати кандидатуру Івана Степановича Плюща. <p> Ми пропонуємо такий варіант для того, щоб забезпечити врахування результатів голосування на виборах. А результати голосування такі, що другою фракцією за величиною чи другою політичною силою, яка отримала підтримку на виборах, були комуністи, тому, безумовно, комуністи повинні мати свого представника у керівництві Верховної Ради. І таким представником ми вважаємо Мартинюка Адама Івановича, знаючи його і по роботі як заступника Голови Верховної Ради, і по тих політичних контактах і переговорах, які ми вели. <p> Що стосується третього кандидата на посаду заступника, то ми виходили з двох параметрів. <p> Перше. На заступника покладаються певні функціональні обов’язки, які він має виконувати у Верховній Раді, серед яких насамперед проблеми внутрішньої організації парламенту. І Олександр Валентинович довів, працюючи головою Комітету з питань бюджету, що він з цим справиться. <p> Друге. Він представляє політичну силу, яка достойно провела виборчі перегони. Ми пропонуємо підтримати його кандидатуру. <p> Шановні колеги! Ми пропонуємо вам підтримати наш пакет, який складається з названих вище фігур. <p> Дякую вам за увагу."	"Dear National Deputies! By decision of the faction, I am asked to present the draft decree proposed by the faction ""<PARTY>"", which provides for the election of the head of the Supreme Council of Ivy Ivan Stepanović, the First Deputy Head of the Supreme Council, Martinyuk Adam Ivanovich, and the Deputy Head of the Supreme Council, Mr. Turkchinov, Mr. Alexander Valentinović.  <p>  Briefly on our position, explanations of support for these candidates.  <p>  Ivy Ivan Stepanovich is our story, this is our experience. And this story, and this experience, should be passed on to us and used not only in terms of yesterday, but also in terms of perspective. I refer to the members of that faction, once the most numerous, and I ask them to mention the words of the classic: ""Whoever doesn't know his history, he doesn't deserve his future."" That is why we will support John Stepanovich Plush’s candidacy.  <p>  We propose this option to ensure that the results of the election are taken into account. And the results of the vote are that the second faction of size or second political power that received election support was Communists, so surely the Communists should have their own representative in the leadership of the Supreme Council. And that is what we consider to be Martiniuk Adam Ivanovich, knowing him and at work as the Deputy Head of the Supreme Council, and the political contacts and negotiations that we conducted.  <p>  With regard to the third candidate as deputy, we were out of two options.  <p>  First. The deputy is entrusted with some of the functions that he has to perform in the Supreme Council, including the problems of the internal organization of Parliament. And Alexander Valentinovich proved, working as head of the Committee on Budget Affairs, that he would handle it.  <p>  The other one. He represents the political power that held the electoral race with dignity. We propose to support his candidacy.  <p>  Dear colleagues! We suggest that you support our package, which is made up of the figures above.  <p>  Thank you for your attention."	NA	1	NA
ua00011	56871d58af32eb528f8b752ebbf357dd	M	"народний депутат України (багатомандатний загальнодержавний виборчий округ, <PARTY>). Шановні народні депутати! Формуючи цей склад пакета, ми виходили ось із чого. <p> Найбільша в парламенті фракція ""Єдина Україна"", на нашу думку, має найперше право мати свого представника на посаді Голови Верховної Ради. І ми приєдналися до цієї позиції і по суті, і організаційно. <p> Що торкається кандидата на посаду Першого заступника Голови Мартинюка Адама Івановича. Ми брали до уваги роботу минулого скликання Верховної Ради. Коли Адам Іванович вів засідання Верховної Ради, він дотримувався Регламенту  . <p> Мені приємно, що це викликало таке емоційне пожвавлення в залі, але я хочу, щоб була істина. Оскільки Адам Іванович вів засідання Верховної Ради дуже рідко, то це не вплинуло на наслідки голосування. <p> І наступне. На посаду заступника Голови ми пропонуємо кандидатуру не Медведчука Віктора Володимировича. На цю посаду від фракції Соціал-демократичної партії України   пропонується Зінченко Олександр Олексійович. <p> Таким чином, чого ми досягаємо? Перше. Є розклад відповідних сил у парламенті, який відображається даним пакетом. <p> Друге. Ми гадаємо, що цей склад забезпечить досить високий інтелектуальний та культурний рівень ведення засідань парламенту в рамках духовності і Регламенту. <p> І третє. Цей склад керівництва Верховної Ради забезпечить нормальну ділову співпрацю з Кабінетом Міністрів і Президентом України. А це для нас є найважливішим, інакше ми знову перетворимо Верховну Раду на осередок протистояння виконавчій владі і Президенту, і тоді реальної роботи Верховної Ради не буде. <p> Дякую  ."	National Deputy of Ukraine (Balgato-mandatory national constituency, <PARTY>). Dear National Deputies! When we formed this composition of the packet, this is what we came up with.  <p>  The largest faction in Parliament, we believe, has the first right to have its own representative in office of the Supreme Council. And we joined this position both essentially and organizationally.  <p>  Touching the candidate for the position of First Deputy of the Head of Martinjuk Adam Ivanovich. We have considered the work of the last call of the Supreme Council. When Adam Ivanovich held a meeting of the Supreme Council, he followed the Rules. <p> I'm glad it caused such emotional excitement in the hall, but I want it to be true. Since Adam Ivanovich held a meeting of the Supreme Council very rarely, this did not affect the outcome of the vote.  <p>  And the next. As deputy head, we offer no candidate for Medvedchuk Viktor Volodymyrovich. This position is proposed by the faction of the Social Democratic Party of Ukraine by Zinchenko Alexander Alexiyovich.  <p>  So, what do we achieve? First. There's a timetable of corresponding forces in Parliament that's reflected in this package.  <p>  The other one. We believe that this composition will provide a fairly high intellectual and cultural level of conduct of parliamentary meetings within the framework of spirituality and the Rules.  <p>  And the third. This composition of the Supreme Council will ensure normal business cooperation with the Cabinet of Ministers and the President of Ukraine. And that's the most important thing for us, or we'll turn the Supreme Council back into a centre of opposition to the executive and the President, and then the real work of the Supreme Council will be gone.  <p>  Thank you.	NA	0	NA
